tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF3	GM12878	10	0.7948717948717948	0.4576043153224294	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF3	GM12878	1	0.7751479289940828	0.3892494720807615	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF3	GM12878	2	0.863905325443787	0.4743416490252569	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	GM12878	3	0.9053254437869822	0.6172133998483676	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}
ATF3	GM12878	4	0.7218934911242603	0.40422604172722165	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF3	GM12878	5	0.7278106508875739	0.2335496832484569	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}
ATF3	GM12878	6	0.680473372781065	0.1543033499620919	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}
ATF3	GM12878	7	0.9743589743589745	0.7628205128205128	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 10, 'classifier__n_estimators': 50}
ATF3	GM12878	8	0.6923076923076923	0.11342410894527007	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	GM12878	9	0.8653846153846154	0.7205766921228921	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 50}
ATF3	GM12878	10	0.8397435897435896	0.48744609478821715	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 50}
ATF3	H1	1	0.4607438016528925	-0.04588314677411236	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}
ATF3	H1	2	0.7066115702479339	0.4095141796739611	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF3	H1	3	0.7034632034632033	0.3484848484848485	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 200}
ATF3	H1	4	0.7532467532467533	0.3485913237440014	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}
ATF3	H1	5	0.6320346320346321	0.16485939003577052	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 10, 'classifier__n_estimators': 300}
ATF3	H1	6	0.5714285714285714	0.07456785876210716	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 10, 'classifier__n_estimators': 100}
ATF3	H1	7	0.49567099567099565	0.07158368251553193	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF3	H1	8	0.7987012987012987	0.3961038961038961	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF3	H1	9	0.5151515151515151	-0.11496773252494523	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	H1	10	0.8225108225108225	0.6277056277056277	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 50}
ATF3	H1	1	0.6632231404958677	0.14944064441601537	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF3	H1	2	0.6012396694214877	0.136504726557987	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	H1	3	0.6147186147186148	0.16485939003577052	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}
ATF3	H1	4	0.645021645021645	0.16154396481156702	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF3	H1	5	0.6883116883116882	0.2083513700705935	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF3	H1	6	0.6190476190476191	0.16887426837300737	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF3	H1	7	0.7121212121212122	0.3026577796814937	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF3	H1	8	0.7813852813852814	0.35141080507624767	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF3	H1	9	0.7186147186147186	0.3015191475654224	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 5, 'classifier__n_estimators': 50}
