fileid	pos	features	r2_test	mse_test	mae_test	best_alpha
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7419732230084921	0.0036502079218266067	0.0474154708049835	14.599319863972795
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6849024125880006	0.003321095601669405	0.04423875505916319	8.999599919983996
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.62774000594328	0.0035798275418502403	0.04583556888580567	7.399679935987198
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7767381723075787	0.005274760721801515	0.050820723195681726	5.799759951990398
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7991125953316507	0.003497297554061984	0.047816504980447504	9.799559911982398
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7751565305305084	0.004907493037766272	0.048272804004999954	8.999599919983996
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7384299932811691	0.004462787711861351	0.05251818529961526	5.799759951990398
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.758612999074828	0.004250565522178728	0.048434633793094845	10.599519903980797
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7757151739178194	0.0045384314702032426	0.04560358022953344	9.799559911982398
GSM1586790_AntpHQ_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7325365660631904	0.004239372576564754	0.04798596340867508	18.599119823964795
GSM1586791_AntpHT_Exd_16mer	all	('1mer',)	0.360411190302265	0.007796486197209463	0.06363216886477274	864.1568313662733
GSM1586791_AntpHT_Exd_16mer	all	('1mer',)	0.3808349933164281	0.010776006009760055	0.07263236298158775	847.357671534307
GSM1586791_AntpHT_Exd_16mer	all	('1mer',)	0.36178382955857125	0.009862532026730077	0.06320991824002259	760.9619923984798
